id,url,account,text,date,retweet,favorite,mentioned,hashtags,geotags,keyword
"968317667034705921","https://twitter.com/frodo911_steve/status/968317667034705921","frodo911_steve","http:// 70news.wordpress.com is a FAKE news site that Jack Kingston cites to malign Sheriff in Florida. Says everything about Jack!", "20180226","0","0","","", "", "https://70news.wordpress.com/"
"968317011410513920","https://twitter.com/frodo911_steve/status/968317011410513920","frodo911_steve","@JackKingston http:// 70news.wordpress.com . is a well known FAKE NEWS site!!! For example, the site said Trump had won the popular vote by 700,000 votes. He had not. Of course, Jack Kingston is a fake expert so it is fitting he cites FAKE NEWS sites.", "20180226","0","0","@JackKingston","", "", "https://70news.wordpress.com/"
"964252907200811008","https://twitter.com/_EM_CO_/status/964252907200811008","_EM_CO_","FBI al maanden getipt voor deze gast... :-( Zou gaan om een geadopteerde jongen (bron: https:// 70news.wordpress.com / ) https:// fb.me/PRD0absy", "20180215","0","0","","", "", "https://70news.wordpress.com/"
"968886568105730049","https://twitter.com/BVA_BDRC/status/968886568105730049","BVA_BDRC","Even greater news ! @Channel4 and BDRC's @MaxWilley take home their second award at the #MMRAs https:// twitter.com/MediatelNews/s tatus/968881357966512134 …", "20180228","3","5","@Channel4 @MaxWilley","#MMRAs", "", "BVA News"
"968878470653759489","https://twitter.com/BVA_BDRC/status/968878470653759489","BVA_BDRC","Great news , @Channel4 's work, assisted by BDRC, has been awarded the @MediatelNews Award for Best Custom Media Research Project! Congratulations to all involved #MMRAs https:// twitter.com/MediatelNews/s tatus/968876646890688512 …", "20180228","1","7","@Channel4 @MediatelNews","#MMRAs", "", "BVA News"
"968411679620042752","https://twitter.com/BritishVets/status/968411679620042752","BritishVets","* NEWS * Michael Gove @DefraGovUK Secretary announces new #agriculture policy consultation. BVA President, vet @JohnCFishwick calls for public goods of animal health&welfare to be at heart of any post #brexit policy http:// ow.ly/iRmM30iDw5x", "20180227","3","3","@DefraGovUK @JohnCFishwick","#agriculture #brexit", "", "BVA News"
"964507302350000129","https://twitter.com/BEVA_news/status/964507302350000129","BEVA_news","BVA News : Vets delighted to see animal welfare high on the political agenda http:// bit.ly/2GkGSqb pic.twitter.com/i6CUTFQuWV", "20180216","0","0","","", "", "BVA News"
"963882797122416641","https://twitter.com/TSHIVHALAVHALAS/status/963882797122416641","TSHIVHALAVHALAS","#Breaking news .. Rand yo ri u pfa uri #Zuma o bva ya mbo di kukumuwa ya thuthuba..buuuuuu!", "20180214","0","0","","#Breaking #Zuma", "", "BVA News"
"963386420063764481","https://twitter.com/BritishVets/status/963386420063764481","BritishVets","Such tragic news . From all of us at the BVA , our deepest condolences to the family and @Vets4PetsGroup colleagues of Becky Dobson and other victims of the Grand Canyon helicopter crash https:// twitter.com/BBCSussex/stat us/962976869669797889 …", "20180213","0","4","@Vets4PetsGroup","", "", "BVA News"
"963035097900437504","https://twitter.com/ZenopaLtd/status/963035097900437504","ZenopaLtd","BVA calls for vet students to be exempted from immigration targets #animalhealth #news #healthcare http:// bit.ly/2EAKNBO pic.twitter.com/l75q2V0gzp", "20180212","0","0","","#animalhealth #news #healthcare", "", "BVA News"
"960878346765852673","https://twitter.com/StrickHoopsLLC/status/960878346765852673","StrickHoopsLLC","ICYMI 4 players joined the #1kClub last night @wt_ news @gia_thorpe had 34 in a W over Imani Quigley’s @taykirsch44 had 31 in a W over Rochester @MONTOURGIRLSBB @courtt99 had 25 against TJ @ko_goldeneagles @gillian2552 had 17 in W over BVA #SheGetsBuckets #PittsburghTop100", "20180206","2","10","@wt_ @gia_thorpe @taykirsch44 @MONTOURGIRLSBB @courtt99 @ko_goldeneagles @gillian2552","#1kClub #SheGetsBuckets #PittsburghTop100", "", "BVA News"
"959009700695236608","https://twitter.com/VetDefenceSoc/status/959009700695236608","VetDefenceSoc","Important information from #bvanews for any members working with Ionising Radiation http:// ow.ly/ypq430i8cCH @BritishVets British Veterinary Association - BVA pic.twitter.com/HvRefGAZtP", "20180201","1","6","@BritishVets","#bvanews", "", "BVA News"
"967496283668828162","https://twitter.com/fabioflos/status/967496283668828162","fabioflos","La trovi solo su Bloomberg, ma per averla devi trovare i giornali lettoni", "20180224","0","0","","", "", "Bloomberg.ma"
"965179121591635968","https://twitter.com/MoryaLongo/status/965179121591635968","MoryaLongo","È su Bloomberg, ma il servizio é a pagamento. Serve l'abbonamento e il terminale Bloomberg. Non si trova, che io sappia, su internet", "20180218","0","0","","", "", "Bloomberg.ma"
"969058476436553728","https://twitter.com/ryanjyoder/status/969058476436553728","ryanjyoder","A conservative is someone who took Econ 101 in college. A neoliberal is someone who passed it.", "20180228","0","3","","", "", "Conservative 101"
"969050580143558657","https://twitter.com/btyson561/status/969050580143558657","btyson561","That’d be nice, but FL’s only purple when it comes to federal elections. State legislature is nearly solid red. Between the House and Senate, Reps have almost twice the seats. 56- 101 . Flip seems impossible with so many heavily conservative districts, but we can try.", "20180228","0","1","","", "", "Conservative 101"
"969044061674983424","https://twitter.com/d24592002/status/969044061674983424","d24592002","Where’s the Wild Turkey 101 ?", "20180228","0","1","","", "", "Conservative 101"
