,keyword,count
0,https://70news.wordpress.com/,0
1,abcnews.com.co,2
2,american news,1934
3,bva news,3
4,before it's news,31
5,bloomberg.ma,3
6,breaking-cnn.com,0
7,celebtricity,0
8,conservative 101,42
9,conservative frontline,0
10,countynewsroom.info,0
11,dc gazette,19
12,daily buzz live,0
13,daily usa update,1
14,denver guardian,4
15,disclose tv,6
16,drudgereport.com.co,0
17,empire herald,0
18,empire news,127
19,empire sports,51
20,fairusa.org,1
21,feednewz.com,0
22,fox-news24.com,17
23,global associated news,0
24,globalresearch.ca,1402
25,gossip mill mzansi,0
26,guerilla news,4
27,gummy post,2
28,hal turner show,0
29,houston chronicle tv,0
30,huzlers,42
31,infowars,36209
32,kmt 11 news,0
33,liberal society,444
34,liberty writers news,0
35,linkbeef,0
36,media mass,21
37,nbcnews.com.co,0
38,naha daily,0
39,national insider politics,0
40,nationalreport.net,1
41,natural news,1036
42,neonnettle.com,946
43,news breaks here,7
44,news examiner,0
45,news hound,86
46,newsbuzzdaily,0
47,newswatch33,0
48,now8news.com,1
49,nwpedia.club,0
50,prntly,14
51,react 365,0
52,react365.com,13
53,red flag news,3
54,snoopack,0
55,spin zone,910
56,st george gazette,0
57,stuppid,4
58,super station 95,0
59,the boston tribune,1
60,the gateway pundit,337
61,the last line of defense,502
62,the news nerd,2
63,the predicted,2208
64,the reporterz,0
65,thenewyorkevening.com,42
66,truetrumpers.com,0
67,uconservative,32
68,us postman,3
69,usa daily info,0
70,undergroundnewsreport.com,0
71,united media publishing,0
72,world truth tv,4
73,yournewswire.com,5152
74,bients.com,0
75,bizstandardnews.com,79
76,breakingnews247.net,0
77,breakingnews365.net,0
78,channel22news.com,0
79,channel23news.com,6
80,channel24news.com,13
81,channel28news.com,3
82,channel45news.com,8
83,cnn-trending.com,0
84,earlyview.net,0
85,https://odishatv.in/,0
86,prank.link,4
87,usatoday.com.co,0
88,washingtonpost.com.co,1
89,wlinks.co,2
90,worldnewsdailyreport.com ,3
